10	0.1	0.02	0.5	1.69881071467e-09
10 	0.1 	0.02 	0.75 	5.81473269384e-10
10 	0.1 	0.04 	0.5 	1.24397040043e-05
10 	0.1 	0.04 	0.75 	6.42083858518e-06
10 	0.3 	0.02 	0.5 	1.49359465333e-11
10 	0.3 	0.02 	0.75 	2.12381766801e-10
10 	0.3 	0.04 	0.5 	1.22771802821e-05
10 	0.3 	0.04 	0.75 	1.03821864179e-05
30 	0.1 	0.02 	0.5 	1.01850047729e-13
30 	0.1 	0.02 	0.75 	3.44969761181e-13
30 	0.1 	0.04 	0.5 	3.93987563038e-08
30 	0.1 	0.04 	0.75 	1.47373435686e-07
30 	0.3 	0.02 	0.5 	3.27284748205e-16
30 	0.3 	0.02 	0.75 	3.19138579681e-15
30 	0.3 	0.04 	0.5 	4.44271273035e-09
30 	0.3 	0.04 	0.75 	4.76553338983e-08
